response.id,consent.x,prog.prof,prog.comf,math.prof,math.comf,stat.prof,stat.comf,updv.num,dom.y,consent.y,PSTAT100,PSTAT120A.B,PSTAT122,PSTAT126,PSTAT131,PSTAT160A.B,CS9,CS16,PSTAT174,PSTAT175,PSTAT127,PSTAT134,PSTAT115,CS5A.B,ECON145,CS130A.B,CS165A.B,LING110,LING111,rsrch,lang.No preference,lang.Python,lang.R,lang.I prefer to work in Python but I am still comfortable with R!,dom.x.Biology,dom.x.Neuroscience,dom.x.Software products,dom.x.Technology,dom.x.Social or political science,dom.x.Ecology,dom.x.Public health,dom.x.Sports,dom.x.Environmental science,dom.x.Machine Learning,"dom.x.AI, LLM, ML industry applications",dom.x.Finance,"dom.x.Sports marketing, medicine, psychology",dom.x.Aerospace,dom.x.Demography and Linguistic,"dom.x.Linguistics, NLP",dom.x.linguistics,dom.x.Entertainment / Sports,dom.x.Clean energy,dom.x.retail,dom.x.Sports Data,dom.x.Business,area.Analysis or classification of images,area.Deep learning and neural networks,area.Spatial statistics or time series analysis,area.Data visualization and interactive dashboards,"area.Predictive modeling, generally",area.Natural language processing and analysis of text data,area.Model deployment and software or web integrations,area.Data acquisition and engineering,"area.Statistical models and inference, generally",area.Databases,area.Algorithms,type.ind,type.both,type.lab
1,1,5,4,9,5,5,4,3,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0
2,1,5,4,5,4,5,4,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0
3,1,9,5,9,5,9,5,4,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
5,1,5,4,9,5,9,4,4,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
6,1,3,2,5,4,9,5,3,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1
7,1,9,5,9,4,9,4,4,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0
8,1,9,4,5,4,5,3,3,-1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0
9,1,9,5,5,4,9,5,3,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0
10,1,5,4,9,5,9,5,4,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0
12,1,9,5,9,5,9,5,4,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0
13,1,5,5,5,4,9,5,2,-1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0
14,1,9,5,9,4,9,5,3,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
16,1,5,3,9,3,5,3,3,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0
17,1,5,3,5,5,5,4,2,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0
18,1,9,3,9,4,9,3,4,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0
